name	type	distributor	photo
Domino Granulated Sugar 4lb bag	canned goods	UNKNOWN	Uptown Store (1).JPEG
Domino Light Brown Sugar 2lb	canned goods	UNKNOWN	Uptown Store (1).JPEG
Domino Confectioners Sugar 2lb	canned goods	UNKNOWN	Uptown Store (1).JPEG
Sweet'N Low pink packets box	canned goods	UNKNOWN	Uptown Store (1).JPEG
Splenda yellow packets box	canned goods	UNKNOWN	Uptown Store (1).JPEG
McCormick spices assorted jars	canned goods	UNKNOWN	Uptown Store (1).JPEG
Loacker Wafer Vanilla	snack better-for-you	UNKNOWN	Uptown Store (1).JPEG
Pan di Stelle Italian biscuits	snack better-for-you	UNKNOWN	Uptown Store (2).JPEG
Mulino Bianco Macine biscuits	snack better-for-you	UNKNOWN	Uptown Store (2).JPEG
Loacker Vanilla Quadratini	snack better-for-you	UNKNOWN	Uptown Store (2).JPEG
Loacker Lemon Wafer	snack better-for-you	UNKNOWN	Uptown Store (2).JPEG
Crispo Selecta cookies	snack better-for-you	UNKNOWN	Uptown Store (2).JPEG
Tate's Bake Shop Waffle Cones	snack better-for-you	KEHE	Uptown Store (2).JPEG
Tate's Bake Shop Cookies assorted	snack better-for-you	KEHE	Uptown Store (2).JPEG
Abbracci cookies	snack better-for-you	UNKNOWN	Uptown Store (2).JPEG
Bob's Red Mill Baking Powder	canned goods	KEHE	Uptown Store (3).JPEG
Argo Corn Starch box	canned goods	UNKNOWN	Uptown Store (3).JPEG
Five Roses All Purpose Flour 2.5kg	canned goods	UNKNOWN	Uptown Store (3).JPEG
Gold Medal Flour 5lb	canned goods	UNKNOWN	Uptown Store (3).JPEG
Mulino Bianco Macine cookies	snack better-for-you	UNKNOWN	Uptown Store (3).JPEG
Twice Baked Cookies brownie chocolate chunk	snack better-for-you	UNKNOWN	Uptown Store (3).JPEG
Got Eats cookies	snack better-for-you	UNKNOWN	Uptown Store (3).JPEG
Vanilla extract bottles assorted	canned goods	UNKNOWN	Uptown Store (3).JPEG
Honey jars assorted	canned goods	UNKNOWN	Uptown Store (3).JPEG
Maple syrup bottles assorted	canned goods	UNKNOWN	Uptown Store (4).JPEG
Arm & Hammer Baking Soda 1lb	canned goods	UNKNOWN	Uptown Store (4).JPEG
Tabasco Original 5oz	canned goods	UNKNOWN	Uptown Store (5).JPEG
Nissin Cup Noodles assorted	canned goods	EBY-BROWN	Uptown Store (5).JPEG
Maruchan Instant Lunch cup ramen	canned goods	EBY-BROWN	Uptown Store (5).JPEG
Aunt Jemima Original Pancake Mix	canned goods	UNKNOWN	Uptown Store (5).JPEG
Coconut milk cans assorted	canned goods	UNKNOWN	Uptown Store (5).JPEG
Carbonell Extra Virgin Olive Oil	canned goods	UNKNOWN	Uptown Store (6).JPEG
De Cecco pasta blue box	canned goods	UNKNOWN	Uptown Store (6).JPEG
Barilla pasta blue box	canned goods	UNKNOWN	Uptown Store (6).JPEG
Carbone Marinara Sauce jar	canned goods	KEHE	Uptown Store (6).JPEG
Rao's Homemade Marinara jar	canned goods	KEHE	Uptown Store (6).JPEG
Bertolli Olive Oil bottle	canned goods	UNKNOWN	Uptown Store (6).JPEG
Filippo Berio Olive Oil	canned goods	UNKNOWN	Uptown Store (6).JPEG
Hunt's Tomato Sauce can	canned goods	UNKNOWN	Uptown Store (7).JPEG
Bonta Italian tomatoes can	canned goods	UNKNOWN	Uptown Store (7).JPEG
San Marzano tomatoes can	canned goods	UNKNOWN	Uptown Store (7).JPEG
Cento crushed tomatoes	canned goods	UNKNOWN	Uptown Store (7).JPEG
Goya black beans can	canned goods	UNKNOWN	Uptown Store (8).JPEG
Goya kidney beans can	canned goods	UNKNOWN	Uptown Store (8).JPEG
Bush's Best baked beans	canned goods	UNKNOWN	Uptown Store (8).JPEG
Progresso soup cans	canned goods	UNKNOWN	Uptown Store (8).JPEG
Campbell's Chicken Noodle Soup	canned goods	UNKNOWN	Uptown Store (8).JPEG
Chef Boyardee Ravioli	canned goods	UNKNOWN	Uptown Store (8).JPEG
Hellmann's Real Mayonnaise jar	canned goods	UNKNOWN	Uptown Store (9).JPEG
Kewpie Mayonnaise squeeze	canned goods	KEHE	Uptown Store (9).JPEG
French's Yellow Mustard squeeze	canned goods	UNKNOWN	Uptown Store (9).JPEG
Heinz Ketchup squeeze	canned goods	UNKNOWN	Uptown Store (9).JPEG
Dill pickle jars assorted	canned goods	UNKNOWN	Uptown Store (9).JPEG
Vlasic relish jar	canned goods	UNKNOWN	Uptown Store (9).JPEG
Tabasco Original Hot Sauce 5oz	canned goods	UNKNOWN	Uptown Store (10).JPEG
Cholula Hot Sauce	canned goods	UNKNOWN	Uptown Store (10).JPEG
Frank's RedHot Original	canned goods	UNKNOWN	Uptown Store (10).JPEG
Valentina Hot Sauce	canned goods	UNKNOWN	Uptown Store (10).JPEG
La Mas Costena Salsa Casera	canned goods	UNKNOWN	Uptown Store (10).JPEG
Herdez Salsa Verde jar	canned goods	UNKNOWN	Uptown Store (10).JPEG
Tortilla chips bags assorted	snack chip	EBY-BROWN	Uptown Store (10).JPEG
Pinto beans dry bag	canned goods	UNKNOWN	Uptown Store (11).JPEG
Black beans dry bag	canned goods	UNKNOWN	Uptown Store (11).JPEG
Regal Trail Mix bag	snack better-for-you	UNKNOWN	Uptown Store (11).JPEG
Regal Mixed Nuts bag	snack better-for-you	UNKNOWN	Uptown Store (11).JPEG
Olives jars assorted	canned goods	UNKNOWN	Uptown Store (11).JPEG
Pickled vegetables jars	canned goods	UNKNOWN	Uptown Store (11).JPEG
Persil ProClean Liquid Detergent	household	UNKNOWN	Uptown Store (12).JPEG
Snuggle Fabric Softener	household	UNKNOWN	Uptown Store (12).JPEG
Tide Pods bag	household	UNKNOWN	Uptown Store (12).JPEG
Plastic cups multipack assorted	household	UNKNOWN	Uptown Store (12).JPEG
Sponges/dish brushes assorted	household	UNKNOWN	Uptown Store (12).JPEG
Friskies cat food cans	canned goods	UNKNOWN	Uptown Store (12).JPEG
9 Lives cat food cans	canned goods	UNKNOWN	Uptown Store (12).JPEG
Pepsi 20oz btl	CSD	COKE/PEPSI DSD	Uptown Store (13).JPEG
Diet Pepsi 20oz btl	CSD	COKE/PEPSI DSD	Uptown Store (13).JPEG
Mountain Dew 20oz btl	CSD	COKE/PEPSI DSD	Uptown Store (13).JPEG
Mug Root Beer 20oz btl	CSD	COKE/PEPSI DSD	Uptown Store (13).JPEG
Tropicana Orange Juice 52oz	juice	UNKNOWN	Uptown Store (13).JPEG
Lipton Iced Tea 20oz btl	tea	COKE/PEPSI DSD	Uptown Store (13).JPEG
Tropicana Orange Juice 89oz	juice	UNKNOWN	Uptown Store (14).JPEG
Simply Orange Juice 52oz	juice	UNKNOWN	Uptown Store (14).JPEG
Simply Lemonade 52oz	juice	UNKNOWN	Uptown Store (14).JPEG
Welch's Grape Juice 64oz	juice	UNKNOWN	Uptown Store (14).JPEG
Ocean Spray Cranberry Juice 64oz	juice	UNKNOWN	Uptown Store (14).JPEG
Snapple Lemon Tea 16oz btl	tea	COKE/PEPSI DSD	Uptown Store (14).JPEG
AriZona Green Tea 23oz can	tea	EBY-BROWN	Uptown Store (14).JPEG
Naked Juice Green Machine	juice	COKE/PEPSI DSD	Uptown Store (14).JPEG
Snapple assorted varieties 16oz	tea	COKE/PEPSI DSD	Uptown Store (15).JPEG
Yakult probiotic drink multipack	dairy	LOCAL	Uptown Store (15).JPEG
Activia yogurt drink multipack	dairy	LOCAL	Uptown Store (15).JPEG
Oat milk cartons assorted	dairy	LOCAL	Uptown Store (15).JPEG
Almond milk cartons assorted	dairy	LOCAL	Uptown Store (15).JPEG
Eggs cartons large	eggs	LOCAL	Uptown Store (15).JPEG
Aerosol whipped cream cans assorted	dairy	LOCAL	Uptown Store (16).JPEG
Reddi-wip aerosol can	dairy	LOCAL	Uptown Store (16).JPEG
Oatly Oat Milk carton	dairy	KEHE	Uptown Store (16).JPEG
Califia Oat Milk carton	dairy	KEHE	Uptown Store (16).JPEG
Land O Lakes Butter sticks	dairy	LOCAL	Uptown Store (16).JPEG
Kerrygold Irish Butter	dairy	KEHE	Uptown Store (16).JPEG
Half & half quart cartons	dairy	LOCAL	Uptown Store (16).JPEG
Whole milk gallon	dairy	LOCAL	Uptown Store (16).JPEG
2% milk gallon	dairy	LOCAL	Uptown Store (16).JPEG
Sliced cheese assorted (Sargento)	dairy	LOCAL	Uptown Store (17).JPEG
Kraft Singles cheese slices	dairy	LOCAL	Uptown Store (17).JPEG
Cream cheese tubs assorted	dairy	LOCAL	Uptown Store (17).JPEG
Sour cream tubs assorted	dairy	LOCAL	Uptown Store (17).JPEG
Lunchables packaged meals	dairy	LOCAL	Uptown Store (17).JPEG
Hillshire Farm deli meat	dairy	LOCAL	Uptown Store (17).JPEG
Oscar Mayer hot dogs	dairy	LOCAL	Uptown Store (17).JPEG
Block cheese assorted varieties	dairy	LOCAL	Uptown Store (17).JPEG
