Ben & Jerry's Pint (assorted flavors)	ice cream	UNKNOWN	Uptown Store (35).JPEG
Magnum Ice Cream Bar (Love Ice Cream)	ice cream	UNKNOWN	Uptown Store (35).JPEG
Halo Top Pint	ice cream	UNKNOWN	Uptown Store (35).JPEG
KeVita Sparkling Probiotic Drink 15.2oz	functional bev	KEHE	Uptown Store (36).JPEG
KeVita Master Brew Kombucha 15.2oz	functional bev	KEHE	Uptown Store (36).JPEG
Health-Ade Kombucha 16oz	functional bev	KEHE	Uptown Store (36).JPEG
GT's Synergy Kombucha 16oz	functional bev	KEHE	Uptown Store (36).JPEG
Jameson Irish Whiskey 750ml	spirits	SOUTHERN GLAZER'S	Uptown Store (37).JPEG
Jameson Caskmates 750ml	spirits	SOUTHERN GLAZER'S	Uptown Store (37).JPEG
Baileys Irish Cream 750ml	spirits	SOUTHERN GLAZER'S	Uptown Store (37).JPEG
Disaronno Amaretto 750ml	spirits	BREAKTHRU	Uptown Store (37).JPEG
Cardenal Mendoza Brandy 750ml	spirits	BREAKTHRU	Uptown Store (37).JPEG
Sobieski Vodka 750ml	spirits	BREAKTHRU	Uptown Store (37).JPEG
Smirnoff Vodka 750ml	spirits	SOUTHERN GLAZER'S	Uptown Store (37).JPEG
Clos du Bois Wine 750ml	wine	BREAKTHRU	Uptown Store (37).JPEG
Skinny Pop Popcorn 4.4oz Bag	snack better-for-you	KEHE	Uptown Store (38).JPEG
Garrett Popcorn Caramel Crisp Bag	snack better-for-you	UNKNOWN	Uptown Store (38).JPEG
Pirate's Booty Aged White Cheddar	snack better-for-you	KEHE	Uptown Store (38).JPEG
Quest Tortilla Chips	snack better-for-you	KEHE	Uptown Store (38).JPEG
G.H. Cretors Popped Corn	snack better-for-you	KEHE	Uptown Store (38).JPEG
Rancheritos Tortilla Chips Bag	snack chip	UNKNOWN	Uptown Store (39).JPEG
Gansito Marinela Snack Cake	snack candy	UNKNOWN	Uptown Store (39).JPEG
Gamesa Cookies Variety	snack candy	UNKNOWN	Uptown Store (39).JPEG
Hostess Cupcakes	snack candy	EBY-BROWN	Uptown Store (39).JPEG
Hostess Donettes	snack candy	EBY-BROWN	Uptown Store (39).JPEG
Squirt Soda 12oz Can 12pk	CSD	COKE/PEPSI DSD	Uptown Store (40).JPEG
La Banderita Tostadas	canned goods	UNKNOWN	Uptown Store (40).JPEG
Goya Black Beans Can	canned goods	UNKNOWN	Uptown Store (40).JPEG
Bobo's Oat Bites Box	snack better-for-you	KEHE	Uptown Store (40).JPEG
Twinkies Box	snack candy	EBY-BROWN	Uptown Store (40).JPEG
Totopos Tortilla Chips Bag	snack chip	UNKNOWN	Uptown Store (40).JPEG
Soon Hari Original Soju 375ml	spirits	BREAKTHRU	Uptown Store (41).JPEG
Soon Hari Apple Soju 375ml	spirits	BREAKTHRU	Uptown Store (41).JPEG
Soon Hari Strawberry Soju 375ml	spirits	BREAKTHRU	Uptown Store (41).JPEG
Tic Tac Mints (assorted)	snack candy	EBY-BROWN	Uptown Store (41).JPEG
Vaseline Lotion	HBA	KEHE	Uptown Store (42).JPEG
Olay Body Wash	HBA	KEHE	Uptown Store (42).JPEG
Suave Body Wash	HBA	KEHE	Uptown Store (42).JPEG
Old Spice Deodorant	HBA	KEHE	Uptown Store (42).JPEG
Speed Stick Deodorant	HBA	KEHE	Uptown Store (42).JPEG
Dove Body Wash	HBA	KEHE	Uptown Store (42).JPEG
Vitaminwater 20oz Variety	mixers	COKE/PEPSI DSD	Uptown Store (43).JPEG
Glaceau Smartwater 20oz	water	COKE/PEPSI DSD	Uptown Store (43).JPEG
Bodyarmor Sport Drink 16oz	sport drink	COKE/PEPSI DSD	Uptown Store (43).JPEG
Bang Energy Drink 16oz	energy	EBY-BROWN	Uptown Store (43).JPEG
Celsius Energy Drink 12oz	energy	KEHE	Uptown Store (43).JPEG
La Colombe Draft Latte 9oz Can	coffee	KEHE	Uptown Store (44).JPEG
La Colombe Triple Draft Latte 9oz Can	coffee	KEHE	Uptown Store (44).JPEG
Mitra9 Kratom Seltzer Can	functional bev	UNKNOWN	Uptown Store (44).JPEG
Doritos Nacho Cheese Bag	snack chip	EBY-BROWN	Uptown Store (45).JPEG
Doritos Cool Ranch Bag	snack chip	EBY-BROWN	Uptown Store (45).JPEG
Lay's Classic Bag	snack chip	EBY-BROWN	Uptown Store (45).JPEG
Ruffles Cheddar & Sour Cream	snack chip	EBY-BROWN	Uptown Store (45).JPEG
Tostitos Tortilla Chips Bag	snack chip	EBY-BROWN	Uptown Store (45).JPEG
Cheetos Flamin' Hot Bag	snack chip	EBY-BROWN	Uptown Store (45).JPEG
Lifesavers Gummies Bag	snack candy	EBY-BROWN	Uptown Store (46).JPEG
Skittles Original Bag	snack candy	EBY-BROWN	Uptown Store (46).JPEG
Haribo Goldbears Bag	snack candy	EBY-BROWN	Uptown Store (46).JPEG
Haribo Sour Gold-Bears Bag	snack candy	EBY-BROWN	Uptown Store (46).JPEG
